,BP_intra-cluster,BP_inter-cluster,BP_difference,CC_intra-cluster,CC_inter-cluster,CC_difference,MF_intra-cluster,MF_inter-cluster,MF_difference
blossom_01,0.1294,0.1108,0.0186,0.2738,0.2394,0.0344,0.2052,0.1612,0.044
blossom_02,0.1242,0.1112,0.013,0.27,0.2396,0.0304,0.2008,0.1598,0.041
blossom_03,0.1216,0.111,0.0106,0.268,0.2398,0.0282,0.1988,0.16,0.0388
blossom_04,0.1202,0.1118,0.0084,0.267,0.2402,0.0268,0.1972,0.1608,0.0364
blossom_05,0.1196,0.111,0.0086,0.2664,0.2388,0.0276,0.1968,0.1606,0.0362
blossom_06,0.1194,0.1116,0.0078,0.2676,0.2412,0.0264,0.1962,0.1618,0.0344
blossom_07,0.119,0.111,0.008,0.2668,0.2422,0.0246,0.196,0.1602,0.0358
edge_betweenness,0.1252,0.1122,0.013,0.2698,0.2434,0.0264,0.2012,0.165,0.0362
fast_greedy,0.1204,0.13,-0.0096,0.267,0.265,0.002,0.1974,0.1652,0.0322
hungarian_algorithm,0.138,0.1108,0.0272,0.2794,0.246,0.0334,0.2126,0.171,0.0416
label_propagation,0.1204,0.1362,-0.0158,0.2666,0.275,-0.0084,0.1972,0.1898,0.0074
leading_eigen,0.1192,0.1658,-0.0466,0.2658,0.2922,-0.0264,0.1962,0.1668,0.0294
louvain_algorithm,0.1204,0.1282,-0.0078,0.2668,0.264,0.00280000000000001,0.1972,0.1684,0.0288
walktrap_algorithm,0.1252,0.1134,0.0118,0.27,0.2542,0.0158,0.2012,0.1656,0.0356
