"cancer_type","top_BP_difference","top_CC_difference","top_MF_difference"
"BLCA","MWMM","MWMM","MWMM"
"BRCA","MWMM","MWMM","MWMM"
"COAD","MWMM","edge_betweenness","leading_eigen"
"ESCA","label_propagation","MWMM","MWMM"
"HNSC","MWMM","MWMM","MWMM"
"KICH","MWMM","MWMM","MWMM"
"KIRC","MWMM","MWMM","MWMM"
"KIRP","MWMM","MWMM","MWMM"
"LIHC","MWMM","MWMM","MWMM"
"LUAD","MWMM","MWMM","MWMM"
"LUSC","label_propagation","MWMM","MWMM"
"PRAD","MWMM","leading_eigen","MWMM"
"STAD","MWMM","MWMM","MWMM"
"THCA","label_propagation","MWMM","MWMM"
"UCEC","label_propagation","MWMM","MWMM"
