"cancer_type","top_3_BP_difference","top_3_CC_difference","top_3_MF_difference"
"BLCA","MWMM;walktrap_algorithm;label_propagation","MWMM_01;MWMM;label_propagation","MWMM;MWMM_01;walktrap_algorithm"
"BRCA","MWMM;MWMM_01;MWMM_02","MWMM_01;MWMM;MWMM_02","MWMM_01;MWMM;MWMM_02"
"COAD","MWMM;louvain_algorithm;fast_greedy","edge_betweenness;leading_eigen;fast_greedy","leading_eigen;label_propagation;edge_betweenness"
"ESCA","label_propagation;MWMM;walktrap_algorithm","MWMM_01;label_propagation;MWMM_02","MWMM_01;label_propagation;MWMM"
"HNSC","MWMM;label_propagation;walktrap_algorithm","MWMM;label_propagation;MWMM_01","MWMM;MWMM_01;MWMM_02"
"KICH","MWMM;label_propagation;MWMM_01","MWMM_01;MWMM;MWMM_02","MWMM_01;MWMM;label_propagation"
"KIRC","MWMM;label_propagation;MWMM_01","MWMM;MWMM_01;MWMM_02","MWMM;label_propagation;MWMM_01"
"KIRP","MWMM;label_propagation;MWMM_01","MWMM;MWMM_01;label_propagation","MWMM;MWMM_01;label_propagation"
"LIHC","MWMM;label_propagation;MWMM_01","MWMM_01;label_propagation;MWMM","MWMM_01;MWMM;label_propagation"
"LUAD","MWMM;edge_betweenness;walktrap_algorithm","MWMM;MWMM_01;MWMM_02","MWMM;edge_betweenness;walktrap_algorithm"
"LUSC","label_propagation;MWMM_01;MWMM","MWMM_01;MWMM_02;MWMM_03","MWMM_01;label_propagation;MWMM"
"PRAD","MWMM;walktrap_algorithm;edge_betweenness","leading_eigen;louvain_algorithm;MWMM","MWMM;MWMM_01;edge_betweenness"
"STAD","MWMM;MWMM_01;MWMM_02","MWMM;MWMM_01;MWMM_02","MWMM;MWMM_01;MWMM_02"
"THCA","label_propagation;MWMM;walktrap_algorithm","MWMM_01;label_propagation;MWMM_02","MWMM;label_propagation;walktrap_algorithm"
"UCEC","label_propagation;MWMM;MWMM_01","MWMM_01;label_propagation;MWMM_02","MWMM_01;label_propagation;MWMM"
