from,to,ARI
all_negative_value_weight,all_positive_value_weight,0.025
all_negative_value_weight,arithmetic_mean_value_weight,0.022
all_negative_value_weight,geometric_mean_value_weight,0.027
all_negative_value_weight,integrated_mean_value_weight,0.027
all_negative_value_weight,maximum_absolute_value_weight,0.026
all_positive_value_weight,arithmetic_mean_value_weight,0.03
all_positive_value_weight,geometric_mean_value_weight,0.037
all_positive_value_weight,integrated_mean_value_weight,0.036
all_positive_value_weight,maximum_absolute_value_weight,0.039
arithmetic_mean_value_weight,geometric_mean_value_weight,0.04
arithmetic_mean_value_weight,integrated_mean_value_weight,0.062
arithmetic_mean_value_weight,maximum_absolute_value_weight,0.046
geometric_mean_value_weight,integrated_mean_value_weight,0.03
geometric_mean_value_weight,maximum_absolute_value_weight,0.036
integrated_mean_value_weight,maximum_absolute_value_weight,0.088
