,average_IW,average_E2MROW,average_R2MEOW,condition_01_true_percent,condition_02_true_percent
hungarian_algorithm,0.243,0.249,0.589,63.14%,16.99%
blossom_01,0.282,0.296,0.552,62.75%,15.69%
blossom_02,0.305,0.303,0.513,59.21%,23.68%
blossom_03,0.331,0.295,0.477,68.42%,28.95%
blossom_04,0.366,0.288,0.42,78.95%,42.11%
blossom_05,0.42,0.268,0.346,100.00%,66.67%
blossom_06,0.508,0.193,0.223,100.00%,100.00%
blossom_07,0.598,0.126,0.127,100.00%,100.00%
blossom_08,0.725,0,0,100.00%,100.00%
fast_greedy,0.289,0.14,0.141,86.36%,95.45%
leading_eigen,0.27,0.165,0.111,90.00%,90.00%
edge_betweenness,0.266,0.331,0.3,46.32%,37.89%
label_propagation,0.243,0.162,0.069,80.00%,100.00%
louvain_algorithm,0.302,0.157,0.123,95.24%,100.00%
walktrap_algorithm,0.228,0.173,0.164,70.80%,81.42%
